# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.76
1                      6610.80
2                      6830.51
4                      6701.29
8                      6826.59
16                     6957.30
32                    10130.61
64                    11303.45
128                   15472.62
256                   18167.73
512                   47543.29
1024                  64376.15
2048                  75700.16
4096                  85955.80
8192                 145179.23
16384                270113.31
32768                431729.76
65536                788072.83
131072              1614383.18
262144              3399300.77
524288              7147064.56
1048576            14300074.94
