# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.78
1                     23611.37
2                     22471.92
4                     23646.96
8                     25232.52
16                    25849.80
32                    25501.98
64                    22816.87
128                   21013.28
256                   21428.84
512                   22918.17
1024                  20219.20
2048                  23554.08
4096                  26030.02
8192                  30006.80
16384                 13946.39
32768                 25580.03
65536                 28391.56
131072                47795.37
262144                93570.82
524288               190756.43
1048576              379063.52
