# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        31.62
1                     26420.10
2                     26104.56
4                     25933.69
8                     25828.25
16                    26400.01
32                    26104.81
64                    26465.30
128                   27080.84
256                   39626.23
512                   48499.68
1024                  65940.77
2048                  76964.39
4096                  89317.30
8192                 152238.00
16384                270065.13
32768                433332.23
65536                748684.45
131072              1422752.71
262144              2962010.25
524288              6318602.17
1048576            13143390.82
