# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       686.22
1                       687.83
2                       688.02
4                       682.93
8                       680.92
16                      686.03
32                      692.12
64                      697.23
128                     715.59
256                     868.12
512                    1334.18
1024                   1727.25
2048                   1202.11
4096                   1240.69
8192                   1646.28
16384                  3685.93
32768                  4688.94
65536                  8743.49
131072                30667.67
262144                54909.96
524288                92544.14
1048576              177212.39
2097152              334735.32
4194304              695836.33
