# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       689.18
1                       690.98
2                       688.30
4                       686.15
8                       687.43
16                      687.08
32                      691.35
64                      705.75
128                     723.45
256                     866.58
512                    1347.56
1024                   1742.69
2048                   1202.20
4096                   1240.00
8192                   1654.43
16384                  3818.19
32768                  4636.67
65536                  8791.54
131072                30199.21
262144                54791.35
524288                93120.30
1048576              175451.91
2097152              328068.47
4194304              705540.79
