# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       682.28
1                       683.14
2                       681.37
4                       679.05
8                       681.40
16                      682.06
32                      688.96
64                      701.95
128                     715.82
256                     868.81
512                    1333.00
1024                   1726.04
2048                   1204.46
4096                   1242.12
8192                   1648.05
16384                  3714.22
32768                  4632.15
65536                  8693.03
131072                30816.65
262144                54991.29
524288                93736.68
1048576              174847.92
2097152              335974.31
4194304              715234.18
