# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        33.79
1                     30975.07
2                     31036.44
4                     31211.79
8                     31005.86
16                    30881.50
32                    31249.01
64                    31485.60
128                   32065.77
256                   53643.21
512                   57357.49
1024                  74954.09
2048                  86157.13
4096                 104184.99
8192                 167190.94
16384                309206.96
32768                465896.16
65536                873616.74
131072              1685312.13
262144              3727811.45
524288              7761329.19
1048576            16399936.66
