# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        24.84
1                      7329.42
2                      7471.96
4                      7453.06
8                      7287.60
16                     7451.74
32                     7595.60
64                     7416.90
128                    7654.80
256                   11359.73
512                   12502.61
1024                  18715.07
2048                  20082.82
4096                  23405.90
8192                  32523.18
16384                 77614.22
32768                136545.89
65536                260047.35
131072               402080.47
262144               753121.12
524288              1474931.75
1048576             2958424.98
