# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         6.01
1                      2656.92
2                      2942.13
4                      2942.13
8                      2942.03
16                     2967.06
32                     3018.81
64                     3923.41
128                    5465.30
256                    6934.04
512                    7029.44
1024                   8163.14
2048                   9061.45
4096                  13498.59
8192                  30268.60
16384                 52712.90
32768                 78763.06
65536                141544.45
131072               289914.44
262144               542800.64
524288              1050698.08
1048576             2106244.52
