# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.87
1                      3974.93
2                      3765.82
4                      3772.09
8                      3823.87
16                     4164.28
32                     6182.26
64                     6834.86
128                    8852.41
256                   10629.55
512                   25302.07
1024                  38661.54
2048                  42362.87
4096                  50501.63
8192                  81043.29
16384                152863.38
32768                326020.37
65536                520897.39
131072              1115921.40
262144              2304028.47
524288              4748634.61
1048576             9338305.01
