# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.60
1                      2941.62
2                      2869.56
4                      2841.32
8                      2849.71
16                     3004.41
32                     3008.36
64                     3611.99
128                    4649.85
256                    6673.14
512                    8364.86
1024                   9796.65
2048                  12275.16
4096                  64731.12
8192                  82055.00
16384                143120.96
32768                222764.99
65536                414988.84
131072               843036.23
262144              1622807.18
524288              3238994.07
1048576             6477294.99
