# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.64
1                        81.83
2                        85.01
4                        82.58
8                        85.51
16                       87.16
32                       91.92
64                       98.95
128                    1038.11
256                    2101.24
512                    2985.34
1024                   3061.67
2048                   2474.17
4096                   2960.96
8192                   4102.48
16384                  6546.61
32768                 10764.27
65536                 19221.27
131072                36182.28
262144                69861.21
524288               136681.80
1048576              270705.12
