# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.84
1                       569.65
2                       564.50
4                       578.03
8                       554.34
16                      559.33
32                      585.27
64                     1399.76
128                    2838.14
256                    4768.12
512                    5129.19
1024                   6631.44
2048                   8468.69
4096                  13453.42
8192                  22917.01
16384                 44476.51
32768                 84417.81
65536                166232.45
131072               333024.17
262144               672916.91
524288              1368106.25
1048576             2743753.95
