# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       583.91
1                       587.92
2                       585.83
4                       590.97
8                       587.95
16                      589.79
32                      593.68
64                      604.34
128                     619.35
256                     976.47
512                    1309.82
1024                   1628.01
2048                   1106.67
4096                   1210.81
8192                   1607.81
16384                  2844.51
32768                  4243.91
65536                  7843.44
131072                17953.76
262144                39225.61
524288                75667.05
1048576              150359.36
2097152              295757.62
4194304              577244.24
