# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.40
1                       191.91
2                       195.90
4                       189.22
8                       200.03
16                      193.57
32                      194.91
64                      203.11
128                     193.74
256                    3622.36
512                    3782.85
1024                   5944.01
2048                   4130.94
4096                   4452.55
8192                   5511.72
16384                 41335.19
32768                 56971.75
65536                 59782.88
131072                87898.79
262144               124372.73
524288               200495.35
1048576              356457.23
