# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.59
1                       271.91
2                       269.00
4                       264.65
8                       272.03
16                      270.10
32                      274.57
64                      286.34
128                     291.04
256                    3920.59
512                    4071.72
1024                   6341.49
2048                   4269.88
4096                   4721.04
8192                   5790.48
16384                 12051.97
32768                 13913.03
65536                 20651.46
131072                33578.89
262144                55607.68
524288               107807.96
1048576              479626.37
