# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.69
1                     22833.38
2                     22638.74
4                     23809.41
8                     24789.24
16                    25628.53
32                    25590.30
64                    23166.95
128                   20136.77
256                   18555.69
512                   21787.83
1024                  20498.92
2048                  22447.18
4096                  26118.09
8192                  31705.49
16384                 13906.07
32768                 23798.23
65536                 24721.79
131072                54133.11
262144                93719.40
524288               190496.05
1048576              378504.90
