# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.68
1                       404.18
2                       414.32
4                       418.47
8                       417.52
16                      438.90
32                      461.74
64                     1351.14
128                    2528.57
256                    4326.32
512                    4866.14
1024                   5090.53
2048                   6471.37
4096                  10338.76
8192                  16505.69
16384                 31963.78
32768                 61729.68
65536                120233.04
131072               239292.12
262144               476766.20
524288               965554.87
1048576             1929995.99
