# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.60
1                      5718.19
2                      5515.72
4                      5497.55
8                      5523.52
16                     5569.33
32                     6293.45
64                     7293.40
128                    9525.55
256                   11767.29
512                   14986.06
1024                  18832.41
2048                  25627.93
4096                  95765.25
8192                 131211.18
16384                231748.27
32768                347309.71
65536                645804.61
131072              1324906.38
262144              2545249.08
524288              5090327.72
1048576            10187736.66
