# MPI Multi Latency Test
# Size [B]        Latency [us]
0                        16.62
1                        18.20
2                        17.30
4                        17.09
8                        17.08
16                       17.05
32                       18.03
64                       17.28
128                      17.84
256                      19.13
512                      20.15
1024                     22.74
2048                     26.11
4096                     35.14
8192                     57.50
16384                   133.72
32768                   229.30
65536                   437.73
131072                  809.34
262144                 1506.15
524288                 2880.52
1048576                5618.13
2097152               11089.12
4194304               21870.22
