# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.72
1                       547.89
2                       539.47
4                       539.35
8                       541.06
16                      541.74
32                      550.46
64                     1395.41
128                    2701.68
256                    4467.57
512                    5259.37
1024                   5476.58
2048                   7739.10
4096                  11573.63
8192                  19995.56
16384                 37100.37
32768                 72313.10
65536                142304.37
131072               283305.91
262144               564280.22
524288              1143406.18
1048576             2295423.03
