# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.68
1                      5849.60
2                      5751.82
4                      5912.44
8                      6052.56
16                     8594.04
32                     9840.35
64                    14608.97
128                   13993.49
256                   17959.96
512                   55525.62
1024                  74544.73
2048                  84040.36
4096                 100727.52
8192                 166527.53
16384                321500.09
32768                477620.74
65536                926911.42
131072              1794379.18
262144              3734712.91
524288              7425065.91
1048576            14479014.40
