# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       632.08
1                       623.52
2                       624.25
4                       620.19
8                       621.57
16                      621.81
32                      630.98
64                      636.66
128                     660.89
256                    1022.25
512                    1383.81
1024                   1711.07
2048                   1197.18
4096                   1323.54
8192                   1791.06
16384                  3563.42
32768                  5363.72
65536                  9522.79
131072                25189.84
262144                50505.52
524288                88124.60
1048576              154740.51
2097152              309707.68
4194304              637921.78
