# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.52
1                       209.01
2                       214.37
4                       209.72
8                       216.04
16                      216.40
32                      212.58
64                      229.51
128                     217.35
256                    3770.09
512                    3949.69
1024                   6140.49
2048                   4240.81
4096                   4634.68
8192                   5633.23
16384                 57350.97
32768                 75718.20
65536                 91548.27
131072               117480.61
262144               169563.70
524288               273484.86
1048576              469924.50
