# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.75
1                     25195.39
2                     24710.49
4                     25072.44
8                     23823.51
16                    27383.82
32                    27161.32
64                    23799.07
128                   24549.38
256                   23446.10
512                   23231.29
1024                  21937.28
2048                  28368.06
4096                  32360.52
8192                  39465.30
16384                 19248.32
32768                 29408.31
65536                 33431.75
131072                47737.83
262144               176915.21
524288               190307.26
1048576              708863.30
