# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.49
1                      2885.21
2                      2759.15
4                      2844.44
8                      2729.32
16                     2770.53
32                     5021.26
64                     6775.85
128                    8125.28
256                    6939.88
512                   12590.47
1024                  18684.67
2048                  19842.50
4096                  22868.63
8192                  32179.58
16384                 78318.90
32768                144414.60
65536                225706.91
131072               438262.01
262144               968995.39
524288              1947516.18
1048576             3767191.76
