# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.57
1                       224.60
2                       229.64
4                       236.51
8                       235.26
16                      251.55
32                      257.58
64                     1252.31
128                    2422.43
256                    4509.84
512                    4622.57
1024                   4796.09
2048                   5453.22
4096                   7984.81
8192                  12316.90
16384                 22873.72
32768                 42945.35
65536                 83654.06
131072               164975.37
262144               327292.13
524288               658914.35
1048576             1319755.60
