# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       699.53
1                       699.72
2                       700.30
4                       698.03
8                       697.32
16                      696.96
32                      706.63
64                      716.96
128                     733.78
256                    1042.18
512                    1441.67
1024                   1768.22
2048                   1288.33
4096                   1477.24
8192                   2136.61
16384                  4287.60
32768                  6548.81
65536                 12457.77
131072                32780.77
262144                60536.75
524288               106181.88
1048576              207784.86
2097152              386291.55
4194304              820522.31
