# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.55
1                      5667.57
2                      5685.29
4                      5714.82
8                      5798.28
16                     5722.51
32                     6556.74
64                     7590.88
128                    9444.85
256                   11829.42
512                   14992.97
1024                  19006.32
2048                  25416.97
4096                 101196.39
8192                 140383.37
16384                241898.30
32768                368454.87
65536                659278.74
131072              1342461.72
262144              2564916.07
524288              5107745.41
1048576            10372637.31
