# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.50
1                       232.57
2                       207.19
4                       175.76
8                       184.87
16                      185.60
32                      188.65
64                      200.18
128                     188.72
256                    3383.95
512                    3527.49
1024                   5734.66
2048                   3828.09
4096                   4181.68
8192                   5245.51
16384                 28247.81
32768                 31229.27
65536                 31666.59
131072                49641.51
262144                79048.48
524288               140202.28
1048576              269974.89
