# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       645.47
1                       650.24
2                       650.73
4                       649.69
8                       651.29
16                      653.08
32                      656.31
64                      665.12
128                     681.90
256                     871.78
512                    1341.72
1024                   1727.94
2048                   1211.20
4096                   1268.81
8192                   1661.90
16384                  3641.51
32768                  4615.75
65536                  8651.90
131072                29579.41
262144                52436.28
524288                94028.99
1048576              174508.94
2097152              334410.64
4194304              702603.93
