# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         6.03
1                       939.19
2                       939.60
4                       958.20
8                       955.18
16                      955.52
32                      982.76
64                     1597.88
128                    2947.14
256                    4967.67
512                    5538.56
1024                   6789.37
2048                   8546.75
4096                  13636.52
8192                  23145.94
16384                 43994.73
32768                 84636.13
65536                166488.26
131072               333544.36
262144               663674.87
524288              1362795.27
1048576             2737750.49
