# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        25.35
1                      7037.58
2                      7378.97
4                      6770.99
8                      7183.99
16                     7185.01
32                     7168.38
64                     7081.94
128                    7137.84
256                   11828.78
512                   12878.76
1024                  20052.14
2048                  20125.89
4096                  24161.21
8192                  33003.91
16384                 82714.95
32768                137891.03
65536                262512.16
131072               402541.29
262144               732293.44
524288              1448118.02
1048576             2840215.01
