# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        24.53
1                      7452.67
2                      7554.15
4                      7354.29
8                      7551.85
16                     7561.64
32                     7660.02
64                     7729.08
128                    8734.07
256                   11651.63
512                   13287.21
1024                  19842.62
2048                  20510.35
4096                  24436.58
8192                  33212.84
16384                 76536.68
32768                138118.53
65536                262131.46
131072               395961.46
262144               722686.60
524288              1481230.56
1048576             2809100.24
