# MPI Multi Latency Test
# Size [B]        Latency [us]
0                        17.78
1                        20.03
2                        18.86
4                        18.89
8                        19.45
16                       20.66
32                       19.40
64                       19.48
128                      19.40
256                      22.44
512                      24.23
1024                     27.30
2048                     35.98
4096                     53.77
8192                     97.22
16384                   215.31
32768                   419.59
65536                   773.17
131072                 1448.62
262144                 2723.72
524288                 5276.99
1048576               10383.49
2097152               20668.42
4194304               41355.26
