# MPI Multi Latency Test
# Size [B]        Latency [us]
0                        17.79
1                        19.14
2                        19.42
4                        20.49
8                        19.40
16                       19.31
32                       18.94
64                       20.64
128                      19.52
256                      21.50
512                      25.10
1024                     27.33
2048                     35.24
4096                     52.44
8192                     96.62
16384                   224.08
32768                   409.83
65536                   779.32
131072                 1437.07
262144                 2750.22
524288                 5313.31
1048576               10407.17
2097152               20663.42
4194304               41322.30
