# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.83
1                       906.04
2                       877.99
4                       887.35
8                       909.36
16                      905.25
32                      940.51
64                     1494.56
128                    2799.05
256                    4711.62
512                    5412.68
1024                   6131.98
2048                   7639.02
4096                  12553.43
8192                  20091.35
16384                 38169.89
32768                 72818.99
65536                143362.48
131072               285714.41
262144               571479.07
524288              1150297.43
1048576             2311035.00
