# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.93
1                       311.56
2                       296.57
4                       299.91
8                       301.62
16                      310.85
32                      317.69
64                     1175.63
128                    2182.75
256                    4085.55
512                    4409.14
1024                   4668.70
2048                   4766.80
4096                   6643.73
8192                   9930.49
16384                 17223.00
32768                 31450.15
65536                 60750.15
131072               118881.20
262144               231672.44
524288               461191.61
1048576              925289.30
