# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.41
1                       190.41
2                       193.86
4                       187.47
8                       191.86
16                      187.41
32                      192.17
64                      199.90
128                     198.90
256                    3413.72
512                    3569.69
1024                   5801.94
2048                   3868.71
4096                   4138.40
8192                   5285.90
16384                 28471.09
32768                 31153.46
65536                 33560.32
131072                51752.93
262144                80734.28
524288               143076.41
1048576              268189.17
