# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        22.25
1                      4695.23
2                      4838.53
4                      4858.08
8                      4786.08
16                     4644.58
32                     4683.46
64                     4960.71
128                    5091.66
256                    7946.17
512                    9054.69
1024                  12887.58
2048                  13733.78
4096                  16333.88
8192                  26441.25
16384                 77382.17
32768                109201.14
65536                172327.75
131072               298805.32
262144               557379.84
524288              1103248.80
1048576             2150886.83
