# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.67
1                      2568.61
2                      2832.82
4                      2835.24
8                      2843.53
16                     2881.92
32                     2890.48
64                     3983.25
128                    5012.13
256                    6822.28
512                    7103.55
1024                   7644.99
2048                   8948.11
4096                  13640.79
8192                  30020.64
16384                 51212.77
32768                 79343.44
65536                140712.09
131072               282549.21
262144               545707.37
524288              1057142.28
1048576             2107966.44
