# MPI Multi Latency Test
# Size [B]        Latency [us]
0                        16.46
1                        17.46
2                        18.13
4                        17.08
8                        16.90
16                       17.09
32                       17.14
64                       18.05
128                      17.41
256                      18.90
512                      20.39
1024                     22.89
2048                     26.46
4096                     36.58
8192                     57.29
16384                   133.28
32768                   230.53
65536                   440.48
131072                  816.26
262144                 1524.55
524288                 2901.53
1048576                5662.00
2097152               11167.13
4194304               22198.07
