# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.62
1                       323.81
2                       322.56
4                       324.93
8                       326.19
16                      339.58
32                      340.56
64                     1221.64
128                    2312.86
256                    4143.77
512                    4554.12
1024                   4858.99
2048                   4924.49
4096                   6703.72
8192                  10061.47
16384                 17352.62
32768                 31668.35
65536                 60881.10
131072               118623.11
262144               231850.13
524288               461566.40
1048576              925750.87
