# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        29.92
1                     14736.81
2                     15113.27
4                     15240.71
8                     14780.57
16                    14753.87
32                    14782.68
64                    15201.52
128                   14893.25
256                   22390.51
512                   23248.11
1024                  36480.77
2048                  39603.69
4096                  47257.10
8192                  82970.31
16384                161788.95
32768                327238.12
65536                468660.25
131072               879473.87
262144              1817704.22
524288              4169858.23
1048576             8761375.31
