# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.58
1                       207.72
2                       218.34
4                       209.16
8                       219.87
16                      208.88
32                      212.99
64                      226.97
128                     224.75
256                    3813.15
512                    3988.87
1024                   6153.38
2048                   4226.67
4096                   4620.91
8192                   5684.37
16384                 54992.63
32768                 78712.13
65536                 94912.85
131072               119842.51
262144               162186.54
524288               277732.29
1048576              468589.98
