# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         6.08
1                     27212.11
2                     26127.59
4                     27505.82
8                     30065.82
16                    30101.25
32                    30860.57
64                    26536.13
128                   26394.69
256                   26733.98
512                   28148.69
1024                  29369.69
2048                  47848.94
4096                  53754.21
8192                  60805.72
16384                 16110.73
32768                 29794.52
65536                 26517.37
131072               124371.01
262144               236859.97
524288               538300.83
1048576              972326.89
