# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.75
1                      3533.43
2                      3470.19
4                      3465.32
8                      3513.77
16                     3529.45
32                     3665.49
64                     5196.60
128                    6498.22
256                    9065.07
512                   10963.07
1024                  13563.60
2048                  17112.65
4096                  27294.20
8192                  44093.45
16384                272971.15
32768                422006.68
65536                753216.20
131072              1495750.56
262144              2945762.71
524288              5949948.97
1048576            12007034.87
