# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.81
1                      5896.47
2                      5948.90
4                      6707.87
8                      5997.35
16                     9664.65
32                    10363.16
64                    15583.15
128                   15747.08
256                   17793.32
512                   57380.29
1024                  75692.48
2048                  87823.17
4096                 105237.39
8192                 165164.74
16384                316393.86
32768                477097.71
65536                915779.90
131072              1803642.05
262144              3708575.64
524288              7407901.54
1048576            14380336.00
