# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.63
1                      2307.27
2                      2318.21
4                      2315.70
8                      2322.11
16                     2349.85
32                     2368.84
64                     3370.73
128                    4108.45
256                    5785.34
512                    7151.29
1024                   7250.98
2048                   8738.65
4096                  12928.39
8192                  20135.96
16384                 33707.16
32768                108096.84
65536                183726.57
131072               366111.05
262144               704425.44
524288              1402435.43
1048576             2757495.65
