# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.90
1                     25227.58
2                     24608.99
4                     25022.45
8                     25813.47
16                    27560.54
32                    27534.82
64                    23464.03
128                   24418.24
256                   23550.69
512                   24842.77
1024                  22670.40
2048                  28589.21
4096                  33208.55
8192                  41720.74
16384                 19148.84
32768                 33025.70
65536                 39090.59
131072                87629.63
262144               174449.59
524288               355560.73
1048576              704989.13
