# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.49
1                      2309.60
2                      2296.61
4                      2420.16
8                      2231.39
16                     2229.03
32                     2401.38
64                     2278.61
128                    2254.18
256                    3634.19
512                    4690.47
1024                   5896.75
2048                   6070.82
4096                   7630.85
8192                  10621.17
16384                 14596.06
32768                 26190.12
65536                 64350.58
131072               112792.24
262144               214209.39
524288               470108.31
1048576              985508.88
