# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        20.18
1                      2324.01
2                      2307.93
4                      2504.31
8                      3076.86
16                     3296.52
32                     2976.70
64                     2491.22
128                    2382.16
256                    3693.78
512                    4947.68
1024                   5900.42
2048                   5793.98
4096                   7519.69
8192                  10825.26
16384                 14930.68
32768                 28139.90
65536                 66333.17
131072               125350.31
262144               228931.47
524288               416009.86
1048576              803065.71
