# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.39
1                      1525.60
2                      1544.23
4                      1500.14
8                      1512.85
16                     1506.33
32                     1510.08
64                     1545.13
128                    1556.10
256                    2243.02
512                    3390.06
1024                   3366.58
2048                   3224.75
4096                   3753.71
8192                   4289.42
16384                  6438.58
32768                 11168.35
65536                 23892.06
131072                42274.48
262144                78038.53
524288               150509.44
1048576              296819.07
