# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       627.18
1                       625.97
2                       627.16
4                       624.35
8                       625.66
16                      622.41
32                      626.03
64                      633.45
128                     653.59
256                    1020.45
512                    1377.45
1024                   1704.38
2048                   1201.73
4096                   1318.30
8192                   1752.47
16384                  3536.38
32768                  5301.16
65536                  9184.79
131072                25172.14
262144                51678.32
524288                89204.98
1048576              157332.12
2097152              304834.10
4194304              629057.94
