# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        34.11
1                     30549.82
2                     30746.25
4                     30685.88
8                     30740.06
16                    30575.58
32                    30604.77
64                    31367.26
128                   31745.79
256                   53084.57
512                   57823.35
1024                  75713.40
2048                  88300.79
4096                 107899.82
8192                 168537.47
16384                315464.93
32768                483731.65
65536                862015.50
131072              1743577.71
262144              3571338.30
524288              7835670.05
1048576            16271574.66
