# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.39
1                       173.95
2                       177.81
4                       175.28
8                       192.07
16                      188.16
32                      189.27
64                      197.42
128                     198.66
256                    3421.70
512                    3494.86
1024                   5762.29
2048                   3828.19
4096                   4224.24
8192                   5237.61
16384                 10496.43
32768                 14198.20
65536                 19283.61
131072                30994.75
262144                51414.99
524288                98852.39
1048576              267936.13
