# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.94
1                     27395.55
2                     26124.57
4                     27530.25
8                     30121.53
16                    29651.90
32                    29125.15
64                    26115.11
128                   25124.41
256                   26614.87
512                   27244.67
1024                  27625.79
2048                  46194.64
4096                  51355.24
8192                  60958.65
16384                 29229.85
32768                 32078.65
65536                 63447.27
131072                65171.42
262144               247792.99
524288               504765.85
1048576              959963.93
