# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.82
1                       244.19
2                       250.72
4                       247.14
8                       245.87
16                      256.81
32                      265.66
64                     1157.78
128                    2175.39
256                    4109.29
512                    4393.19
1024                   4583.14
2048                   4771.74
4096                   6850.65
8192                  10539.72
16384                 17263.64
32768                 31992.04
65536                 60780.89
131072               118843.95
262144               231441.08
524288               461512.55
1048576              925850.67
