# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        31.44
1                     26072.81
2                     26103.00
4                     25893.95
8                     26343.02
16                    26123.19
32                    26110.98
64                    26501.87
128                   27103.69
256                   39151.36
512                   49206.59
1024                  66540.19
2048                  76460.75
4096                  89576.91
8192                 150290.39
16384                268555.48
32768                439298.41
65536                755214.06
131072              1385469.05
262144              2786614.82
524288              6153139.51
1048576            12802237.96
