# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.68
1                       211.69
2                       214.68
4                       213.01
8                       215.59
16                      209.64
32                      213.13
64                      226.80
128                     227.08
256                    3838.40
512                    3974.08
1024                   6131.91
2048                   4207.53
4096                   4516.43
8192                   5595.22
16384                 11849.87
32768                 15280.08
65536                 21033.87
131072                33011.24
262144                57896.20
524288               112504.37
1048576              476335.53
