# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        27.16
1                     11820.30
2                     11698.94
4                     12428.52
8                     11709.07
16                    11793.78
32                    12582.00
64                    12080.25
128                   12068.17
256                   18245.66
512                   21009.86
1024                  31516.56
2048                  32521.62
4096                  38646.85
8192                  83464.92
16384                156676.07
32768                262171.75
65536                413039.75
131072               715947.05
262144              1385607.31
524288              2751596.43
1048576             6063085.21
