# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        22.40
1                      5013.79
2                      5017.98
4                      4980.53
8                      4973.06
16                     4972.21
32                     5033.35
64                     5085.69
128                    5107.45
256                    8192.19
512                    9019.77
1024                  13315.04
2048                  13986.83
4096                  16480.13
8192                  33048.75
16384                 83957.74
32768                110426.76
65536                181404.21
131072               307272.78
262144               555176.78
524288              1090678.10
1048576             2100506.75
