# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.84
1                       275.27
2                       277.85
4                       271.77
8                       282.86
16                      271.77
32                      279.79
64                      293.16
128                     295.23
256                    3933.44
512                    4127.62
1024                   6338.84
2048                   4241.14
4096                   4698.55
8192                   5878.95
16384                 12939.34
32768                 15140.33
65536                 21730.56
131072                35982.08
262144                58806.74
524288               110840.71
1048576              483840.08
