# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.94
1                     27705.72
2                     26030.16
4                     27504.11
8                     30309.85
16                    30323.13
32                    30890.28
64                    26879.64
128                   26188.02
256                   27354.46
512                   26460.07
1024                  27906.38
2048                  45243.19
4096                  51982.74
8192                  61738.46
16384                 24149.48
32768                 15421.42
65536                 29397.02
131072                83331.27
262144               242791.85
524288               254809.37
1048576              928892.68
